#{"t_start": 1621755081.255773, "env_id": "GazeboMarsLsdForce-Lidar-v0"}
r,l,t
100,829,27106.200874
100,789,27145.107258
100,754,27201.186907
100,763,27242.506997
100,717,27280.27424
100,755,27316.897847
100,779,27354.747255
100,802,27393.088845
100,700,27431.102916
100,702,27467.174409
100,726,27503.872794
100,759,27557.379536
100,752,27595.677135
100,747,27646.29014
100,816,27696.27373
100,724,27749.97083
100,702,27785.987522
100,734,27821.802532
100,740,27858.368855
100,874,27895.738759
100,721,27949.06176
100,821,27985.557456
100,823,28024.059782
100,700,28076.341784
100,760,28112.474897
100,755,28162.001689
100,770,28214.867264
100,782,28252.517787
100,762,28290.047005
100,805,28327.574052
100,691,28379.123126
100,752,28427.905856
100,773,28480.671122
100,761,28530.399527
100,749,28567.583087
100,772,28617.199493
100,821,28673.884535
100,841,28712.28746
100,805,28750.929511
100,738,28788.856208
100,777,28840.810832
100,809,28895.453777
100,767,28950.607974
100,714,29003.360896
100,747,29039.828039
100,843,29090.263309
100,697,29128.820141
100,803,29179.23367
100,694,29233.855464
100,803,29285.274071
100,785,29323.33295
100,810,29360.933085
100,773,29399.290823
100,784,29437.023504
100,727,29474.104813
100,762,29523.187301
100,768,29573.514895
100,783,29624.263452
100,730,29676.281654
100,755,29713.15807
100,772,29764.79723
100,720,29817.623124
100,854,29867.594873
100,753,29922.272799
100,736,29973.092055
100,790,30010.428482
100,701,30062.952548
100,775,30099.307976
100,790,30137.296433
100,819,30190.178754
100,874,30245.189499
100,858,30299.483258
100,806,30338.542915
100,771,30391.997766
100,833,30445.35505
100,634,30483.487463
100,753,30533.935455
100,843,30586.542504
100,849,30646.334574
100,786,30686.990925
100,718,30740.490875
100,743,30789.569194
100,806,30826.878505
100,802,30864.798254
100,750,30902.382982
100,785,30952.442847
100,779,30997.003457
100,694,31039.568692
100,781,31078.208625
100,813,31134.279139
100,780,31172.980602
100,775,31223.616989
100,645,31260.724317
100,679,31295.370912
100,793,31332.115091
100,781,31398.046681
100,697,31439.054289
100,629,31477.739179
100,769,31515.554443
100,719,31556.503571
100,775,31597.837542
100,709,31637.970227
100,761,31696.855185
100,754,31765.437953
100,727,31805.355471
100,762,31846.306445
100,721,31887.64892
100,716,31950.524173
100,740,31991.312351
100,666,32057.340268
100,762,32116.422796
100,735,32183.628677
100,755,32223.655171
100,738,32263.805526
100,673,32326.719458
100,709,32385.06978
100,734,32450.393286
100,744,32490.110243
100,787,32531.168772
100,704,32571.462662
100,720,32610.695534
100,782,32650.358371
100,709,32713.895861
100,769,32754.310037
100,699,32794.555642
100,744,32834.575158
100,650,32901.865955
100,710,32959.296671
100,750,33007.95094
100,769,33077.935327
100,712,33119.255858
100,719,33159.472217
100,739,33220.369364
100,714,33260.16875
100,692,33322.333846
100,720,33382.36074
100,738,33422.507997
100,700,33486.82504
100,732,33549.272642
100,707,33589.090476
100,724,33649.945003
100,762,33690.236796
100,687,33751.159561
100,745,33813.913762
100,791,33880.406774
100,694,33949.977887
100,740,33989.949013
100,650,34028.290495
100,743,34087.210562
100,726,34152.35493
100,726,34214.039133
100,851,34254.412678
100,763,34296.749151
100,715,34365.16347
100,717,34405.023026
100,792,34444.673742
100,798,34486.477383
100,783,34553.42355
100,703,34593.766818
100,704,34631.518635
100,814,34684.337866
100,741,34722.167451
100,808,34771.686256
100,687,34809.553693
100,782,34858.201836
100,911,34896.260617
100,731,34936.076865
100,773,34987.46573
100,790,35025.093277
100,780,35063.086569
100,784,35100.712201
100,818,35138.48017
100,724,35176.413894
100,758,35228.816696
100,870,35280.716681
100,827,35335.040898
100,780,35390.082198
100,816,35427.970358
100,739,35466.002251
100,748,35516.187973
100,806,35567.486778
100,726,35605.408844
100,828,35642.29556
100,786,35680.862792
100,728,35718.156252
100,801,35769.929293
100,791,35808.141248
100,722,35845.740649
100,774,35882.466185
100,738,35935.830895
100,807,35972.569368
100,806,36011.197387
100,739,36064.618744
100,793,36116.579188
100,792,36169.606145
100,768,36207.752229
100,709,36244.854226
100,737,36296.043458
100,760,36348.059487
100,693,36384.95057
100,799,36422.341139
100,776,36475.452667
100,740,36528.673836
100,731,36565.256792
100,828,36619.434739
100,788,36658.226099
100,826,36712.635486
100,806,36751.813112
100,762,36802.546841
100,843,36855.607019
100,674,36912.175102
100,744,36961.587689
100,748,37012.29529
100,712,37049.138358
100,783,37101.645804
100,753,37152.374407
100,738,37202.176453
100,760,37238.810415
100,762,37291.560561
100,843,37341.842989
100,825,37398.274696
100,762,37452.738829
100,777,37489.964462
100,813,37543.769981
100,770,37597.727563
100,688,37635.221119
100,774,37683.627268
100,756,37738.163782
100,718,37786.19076
100,755,37836.071873
100,760,37886.940821
100,812,37924.899474
100,768,37976.448895
100,673,38013.462885
100,849,38061.948722
100,782,38116.530917
100,726,38168.796008
100,721,38216.92504
100,724,38252.99449
100,782,38303.845712
100,796,38355.852823
100,733,38410.417976
100,688,38446.986522
100,788,38497.109221
100,700,38534.352856
100,754,38582.440474
100,829,38619.914368
100,730,38658.298901
100,851,38695.710751
100,821,38751.03251
100,828,38802.938975
100,736,38857.135548
100,809,38894.259472
100,717,38950.218162
100,756,38999.170492
100,751,39050.313538
100,783,39087.58746
100,705,39124.547738
100,741,39160.865573
100,724,39202.265576
100,670,39238.746888
100,734,39284.846486
100,723,39321.353479
100,717,39374.510503
100,742,39424.294286
100,718,39464.296851
100,852,39501.193897
100,798,39540.60838
100,703,39578.41945
100,727,39614.624502
100,737,39664.081359
100,728,39713.944204
100,691,39755.417192
100,750,39795.43001
100,758,39861.59093
100,751,39919.150656
100,627,39955.722989
100,794,39990.734005
100,767,40029.750341
100,754,40068.088352
100,730,40134.538583
100,721,40198.22773
100,776,40236.634812
100,658,40297.867409
100,717,40356.585011
100,754,40418.155342
100,752,40455.778594
100,839,40527.195265
100,721,40599.465106
100,762,40640.402983
100,726,40681.298045
100,694,40722.474176
100,766,40785.587448
100,735,40826.344027
100,662,40866.878674
100,732,40905.503044
100,733,40968.323854
100,684,41031.238814
100,781,41091.983216
100,721,41133.572509
100,740,41197.539007
100,712,41259.969132
100,654,41323.02114
100,709,41382.255113
100,685,41448.079199
100,792,41487.287466
100,668,41528.921825
100,807,41568.893333
100,766,41635.15263
100,673,41674.56075
100,739,41714.118922
100,763,41775.579502
100,671,41847.363073
100,675,41885.957247
100,783,41925.366552
100,680,41965.562926
100,753,42005.83428
100,783,42063.234422
100,742,42103.677612
100,731,42142.766286
100,737,42181.97401
100,709,42220.629221
100,807,42276.584808
